duree_max10;ID_ACQUI;PC_COMMISSION_VENTE_RF;PC_COMMISSION_VENTE_AC;PC_COMMISSION_MAINTIEN_RF;PC_COMMISSION_MAINTIEN_AC;PC_FRAIS_AN_AC;PC_FRAIS_AN_RF
1;1;4%;4%;0.8887%;0.8887%;9.0447%;9.0447%
1;2;3%;3%;0.3216%;0.3216%;4.8433%;4.8433%
1;3;7%;7%;0.7173%;0.7173%;7.5604%;7.5604%
1;4;2%;2%;0.3273%;0.3273%;3.3308%;3.3308%
1;5;3%;3%;0.2563%;0.2563%;3.8589%;3.8589%
1;6;4%;4%;0.3925%;0.3925%;4.1375%;4.1375%
1;7;5%;5%;0.4727%;0.4727%;4.9829%;4.9829%
1;8;1%;1%;0.2118%;0.2118%;1.1752%;1.1752%
1;9;3%;3%;0.0117%;0.0117%;3.0478%;3.0478%
1;10;4%;4%;0.0166%;0.0166%;3.0447%;3.0447%
1;11;1%;1%;0.0000%;0.0000%;0.9565%;0.9565%
1;12;0%;0%;0.4130%;0.4130%;0.0000%;0.0000%
1;13;0%;0%;0.6629%;0.6629%;0.0000%;0.0000%
1;14;0%;0%;0.8986%;0.8986%;0.0000%;0.0000%
1;15;0%;0%;0.4331%;0.4331%;0.0000%;0.0000%
2;1;3%;3%;0.6943%;0.6943%;7.0667%;7.0667%
2;2;5%;5%;0.5595%;0.5595%;8.4251%;8.4251%
2;3;7%;7%;0.7577%;0.7577%;7.9867%;7.9867%
2;4;3%;3%;0.7120%;0.7120%;7.2460%;7.2460%
2;5;2%;2%;0.1943%;0.1943%;2.9265%;2.9265%
2;6;4%;4%;0.3779%;0.3779%;3.9828%;3.9828%
2;7;9%;9%;0.9290%;0.9290%;9.7925%;9.7925%
2;8;1%;1%;0.2565%;0.2565%;0.4743%;0.4743%
2;9;3%;3%;0.0105%;0.0105%;0.9189%;0.9189%
2;10;2%;2%;0.0078%;0.0078%;0.4766%;0.4766%
2;11;2%;2%;0.0000%;0.0000%;0.4757%;0.4757%
2;12;0%;0%;0.7238%;0.7238%;0.0000%;0.0000%
2;13;0%;0%;0.5988%;0.5988%;0.0000%;0.0000%
2;14;0%;0%;0.7593%;0.7593%;0.0000%;0.0000%
2;15;0%;0%;0.4381%;0.4381%;0.0000%;0.0000%
3;1;4%;4%;0.8830%;0.8830%;7.4890%;7.4890%
3;2;3%;3%;0.3499%;0.3499%;4.3906%;4.3906%
3;3;3%;3%;0.3167%;0.3167%;2.7816%;2.7816%
3;4;2%;2%;0.3413%;0.3413%;2.8948%;2.8948%
3;5;3%;3%;0.3370%;0.3370%;4.2289%;4.2289%
3;6;4%;4%;0.3816%;0.3816%;3.3522%;3.3522%
3;7;3%;3%;0.3205%;0.3205%;2.8151%;2.8151%
3;8;1%;1%;0.4418%;0.4418%;0.0000%;0.0000%
3;9;2%;2%;0.6201%;0.6201%;0.0000%;0.0000%
3;10;2%;2%;0.5442%;0.5442%;0.0000%;0.0000%
3;11;1%;1%;0.1155%;0.1155%;0.0000%;0.0000%
3;12;0%;0%;0.5196%;0.5196%;0.0000%;0.0000%
3;13;0%;0%;0.5771%;0.5771%;0.0000%;0.0000%
3;14;0%;0%;0.6195%;0.6195%;0.0000%;0.0000%
3;15;0%;0%;0.4309%;0.4309%;0.0000%;0.0000%
4;1;4%;4%;0.9431%;0.9431%;6.3988%;6.3988%
4;2;3%;3%;0.2869%;0.2869%;2.8806%;2.8806%
4;3;3%;3%;0.3285%;0.3285%;2.3087%;2.3087%
4;4;4%;4%;0.9218%;0.9218%;6.2544%;6.2544%
4;5;4%;4%;0.4458%;0.4458%;4.4755%;4.4755%
4;6;4%;4%;0.3931%;0.3931%;2.7624%;2.7624%
4;7;3%;3%;0.3503%;0.3503%;2.4617%;2.4617%
4;8;1%;1%;0.4806%;0.4806%;0.0000%;0.0000%
