CODE_CAT_PRODUIT;CAT_COUSSIN_1;CAT_COUSSIN_2;BASE_PASSIF_REDRESSE;TX_PASSIF_REDRESSE;BASE_COUSSIN_CREDIT;TX_COUSSIN_CREDIT;BASE_COUSSIN_MARCHE;TX_COUSSIN_MARCHE;BASE_COUSSIN_DEPENSE;TX_COUSSIN_DEPENSE;BASE_COUSSIN_DECHEANCE;TX_COUSSIN_DECHEANCE;BASE_COUSSIN_MORTALITE;TX_COUSSIN_MORTALITE;BASE_COUSSIN_DEPOT;TX_COUSSIN_DEPOT;FACTEUR_AGE_80;FACTEUR_AGE_90
0;0;1;1;(  0.53%);1;(  0.00%);1;( 12.53%);1;(  0.57%);0;(  0.14%);1;(  0.03%);0;0.00%;171.38%;231.14%
0;0;2;0;(  0.18%);1;(  0.00%);1;(  9.21%);0;(  0.51%);1;(  0.04%);1;(  0.01%);0;0.00%;78.84%;106.33%
0;0;3;1;(  0.02%);0;0.00%;1;(  5.06%);0;(  0.29%);0;(  0.01%);0;(  0.00%);1;0.00%;53.02%;71.51%
1;1;1;0;(  0.40%);0;(  0.08%);0;(  5.22%);0;(  0.35%);0;(  2.10%);0;(  0.31%);0;0.00%;87.15%;57.35%
1;1;2;1;(  0.44%);0;(  0.10%);0;(  7.21%);1;(  0.36%);1;(  2.56%);0;(  0.39%);1;0.00%;132.06%;86.91%
1;1;3;1;(  0.27%);0;(  0.06%);1;(  4.96%);1;(  0.23%);0;(  1.58%);0;(  0.25%);1;0.00%;38.10%;25.07%
1;2;1;0;(  0.63%);0;(  0.26%);0;(  6.08%);1;(  0.49%);0;(  2.58%);1;(  0.45%);1;0.00%;140.55%;92.49%
1;2;2;0;(  0.22%);0;(  0.10%);0;(  2.32%);0;(  0.17%);0;(  0.98%);1;(  0.16%);1;0.00%;41.32%;27.19%
1;2;3;1;(  0.33%);0;(  0.16%);0;(  3.87%);0;(  0.28%);1;(  1.55%);1;(  0.26%);0;0.00%;73.19%;48.17%
1;3;1;0;(  0.60%);1;(  0.32%);1;(  2.31%);0;(  0.77%);1;(  1.87%);0;(  0.21%);0;0.00%;44.66%;29.39%
1;3;2;1;(  0.32%);0;(  0.18%);0;(  1.35%);0;(  0.39%);0;(  1.06%);1;(  0.13%);0;0.00%;62.99%;41.45%
1;3;3;0;(  0.60%);0;(  0.35%);1;(  2.64%);1;(  0.78%);1;(  1.93%);0;(  0.23%);1;0.00%;83.43%;54.90%
2;1;1;1;(  0.29%);0;(  0.07%);1;(  5.81%);0;(  0.33%);1;(  1.83%);0;(  0.22%);1;0.00%;61.76%;52.98%
2;1;2;1;(  0.37%);1;(  0.09%);0;(  9.05%);1;(  0.46%);0;(  2.86%);1;(  0.28%);0;0.00%;93.28%;80.02%
2;1;3;1;(  0.33%);0;(  0.10%);1;(  9.51%);1;(  0.46%);0;(  3.11%);1;(  0.28%);0;0.00%;59.40%;50.95%
2;2;1;1;(  0.36%);1;(  0.19%);1;(  5.01%);1;(  0.35%);0;(  1.64%);0;(  0.26%);1;0.00%;60.63%;52.01%
2;2;2;0;(  0.10%);1;(  0.06%);0;(  1.63%);0;(  0.12%);1;(  0.62%);1;(  0.07%);0;0.00%;113.22%;97.13%
2;2;3;1;(  0.13%);1;(  0.08%);0;(  2.30%);0;(  0.18%);0;(  1.03%);1;(  0.09%);0;0.00%;47.42%;40.68%
