ID_COMPTE,scn_eval,VP_FLUX_DISTRIBUABLES
1.0,1,-73061.61550740618
1.0,2,-81456.48676965585
1.0,3,-76303.35500941217
1.0,4,-76799.0305732261
1.0,5,-73395.61969535443
1.0,6,-79011.13501746512
1.0,7,-80372.51342828
1.0,8,-74750.83888305243
1.0,9,-78461.75510492586
1.0,10,-85538.135999742
1.0,11,-78984.51510227357
1.0,12,-71329.85121405472
1.0,13,-80686.64511169297
1.0,14,-78429.21676117386
1.0,15,-84669.73991741988
1.0,16,-71342.1949395072
1.0,17,-91210.39750583992
1.0,18,-73371.09325446548
1.0,19,-74265.5715827433
1.0,20,-92243.58694825067
1.0,21,-69357.25806874916
1.0,22,-77307.38543370205
1.0,23,-73229.1816541751
1.0,24,-75989.65484479768
1.0,25,-76225.07928375286
1.0,26,-79565.00787965216
1.0,27,-76605.74487875408
1.0,28,-72563.41542862232
1.0,29,-94227.72655649157
1.0,30,-74711.38850271376
1.0,31,-81228.57001998735
1.0,32,-70009.23426461709
1.0,33,-81900.76744779582
1.0,34,-75390.4206014724
1.0,35,-73631.61370657617
1.0,36,-71441.91472888194
1.0,37,-74565.63182701779
1.0,38,-79376.0047109047
1.0,39,-78410.64786827788
1.0,40,-75129.83970476112
1.0,41,-82147.16442931526
1.0,42,-73967.05805746415
1.0,43,-71393.33201710951
1.0,44,-76662.31983846998
1.0,45,-81514.23830615236
1.0,46,-73901.32749287205
1.0,47,-74905.00155023845
1.0,48,-77463.31225477297
1.0,49,-77305.47046972121
1.0,50,-76934.72118602504
1.0,51,-77428.15593409851
1.0,52,-74690.04176923088
1.0,53,-75050.75204962648
1.0,54,-99749.92621342045
1.0,55,-76474.6527548988
1.0,56,-76858.43703366384
1.0,57,-73895.75965666382
1.0,58,-77428.66775002232
1.0,59,-82620.67246511728
1.0,60,-74523.13735533468
1.0,61,-82290.74741323588
1.0,62,-71704.24112674622
1.0,63,-79413.74097441304
1.0,64,-79812.5426218393
1.0,65,-81414.46096313627
1.0,66,-75354.81211758997
1.0,67,-72503.44346559688
1.0,68,-84521.21031518286
1.0,69,-97896.15408956984
1.0,70,-73411.446400139
1.0,71,-82182.39634451136
1.0,72,-72002.43774241516
1.0,73,-91761.67931704274
1.0,74,-79795.04853242927
1.0,75,-81181.54173005716
1.0,76,-74631.08913124082
1.0,77,-75850.03036259694
1.0,78,-87148.20312743106
1.0,79,-85468.1621699823
1.0,80,-78803.76810725794
1.0,81,-74479.13352633806
1.0,82,-76829.13862738515
1.0,83,-72345.47361393983
1.0,84,-71667.72563990013
1.0,85,-84726.15729406699
1.0,86,-88065.70021665201
1.0,87,-74565.61402150028
1.0,88,-75688.4480327276
1.0,89,-75581.97902462611
1.0,90,-79212.78710523844
1.0,91,-77308.56710033161
1.0,92,-76924.61272068149
1.0,93,-74294.86914591369
1.0,94,-75428.00847657211
1.0,95,-93134.63595297089
1.0,96,-75048.28696521328
1.0,97,-76230.32559993274
1.0,98,-79971.7326978135
1.0,99,-79831.4433093262
1.0,100,-82790.32740086608
2.0,1,-36882.80450741063
2.0,2,-41137.23262003457
2.0,3,-38520.409853214325
2.0,4,-38637.64560055351
2.0,5,-37040.865231140255
2.0,6,-39587.21621733558
2.0,7,-40023.54913569362
