,ID_COMPTE,MT_VM,PC_GAR_ECH,MT_GAR_ECH,PC_GAR_DECES,FREQ_RESET_DECES,MAX_RESET_DECES,MT_GAR_DECES,PC_REVENU_FDS,PC_HONORAIRES_GEST,TX_COMM_VENTE,TX_COMM_MAINTIEN,FRAIS_ACQUI,FRAIS_ADMIN,age_deb
0,1,65301.0,1.0,65301.0,1.0,1,80,65301.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,49
1,2,31945.0,1.0,31945.0,1.0,1,80,31945.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,9
2,3,28716.0,1.0,28716.0,1.0,1,80,28716.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,57
3,4,34104.0,1.0,34104.0,1.0,1,80,34104.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,29
4,5,45183.0,1.0,45183.0,1.0,1,80,45183.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,1
5,6,88599.0,1.0,88599.0,1.0,1,80,88599.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,5
6,7,37871.0,1.0,37871.0,1.0,1,80,37871.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,53
7,8,21692.0,1.0,21692.0,1.0,1,80,21692.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,49
8,9,95106.0,1.0,95106.0,1.0,1,80,95106.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,46
9,10,89379.0,1.0,89379.0,1.0,1,80,89379.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,3
10,11,17718.0,1.0,17718.0,1.0,1,80,17718.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,55
11,12,23952.0,1.0,23952.0,1.0,1,80,23952.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,39
12,13,56992.0,1.0,56992.0,1.0,1,80,56992.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,57
13,14,66450.0,1.0,66450.0,1.0,1,80,66450.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,81
14,15,1781.0,1.0,1781.0,1.0,1,80,1781.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,5
15,16,23249.0,1.0,23249.0,1.0,1,80,23249.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,11
16,17,65070.0,1.0,65070.0,1.0,1,80,65070.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,5
17,18,65722.0,1.0,65722.0,1.0,1,80,65722.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,70
18,19,23954.0,1.0,23954.0,1.0,1,80,23954.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,53
19,20,16992.0,1.0,16992.0,1.0,1,80,16992.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,50
20,21,91499.0,1.0,91499.0,1.0,1,80,91499.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,25
21,22,69313.0,1.0,69313.0,1.0,1,80,69313.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,92
22,23,21341.0,1.0,21341.0,1.0,1,80,21341.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,28
23,24,4164.0,1.0,4164.0,1.0,1,80,4164.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,66
24,25,68057.0,1.0,68057.0,1.0,1,80,68057.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,32
25,26,89846.0,1.0,89846.0,1.0,1,80,89846.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,22
26,27,80849.0,1.0,80849.0,1.0,1,80,80849.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,3
27,28,74490.0,1.0,74490.0,1.0,1,80,74490.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,81
28,29,31560.0,1.0,31560.0,1.0,1,80,31560.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,57
29,30,96802.0,1.0,96802.0,1.0,1,80,96802.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,16
30,31,49975.0,1.0,49975.0,1.0,1,80,49975.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,55
31,32,90927.0,1.0,90927.0,1.0,1,80,90927.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,35
32,33,3630.0,1.0,3630.0,1.0,1,80,3630.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,34
33,34,50199.0,1.0,50199.0,1.0,1,80,50199.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,39
34,35,72387.0,1.0,72387.0,1.0,1,80,72387.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,54
35,36,34346.0,1.0,34346.0,1.0,1,80,34346.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,28
36,37,85804.0,1.0,85804.0,1.0,1,80,85804.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,43
37,38,23215.0,1.0,23215.0,1.0,1,80,23215.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,84
38,39,5204.0,1.0,5204.0,1.0,1,80,5204.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,56
39,40,47102.0,1.0,47102.0,1.0,1,80,47102.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,23
40,41,43034.0,1.0,43034.0,1.0,1,80,43034.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,91
41,42,76792.0,1.0,76792.0,1.0,1,80,76792.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,22
42,43,29915.0,1.0,29915.0,1.0,1,80,29915.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,25
43,44,56193.0,1.0,56193.0,1.0,1,80,56193.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,93
44,45,14054.0,1.0,14054.0,1.0,1,80,14054.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,1
45,46,6706.0,1.0,6706.0,1.0,1,80,6706.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,3
46,47,7668.0,1.0,7668.0,1.0,1,80,7668.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,4
47,48,41175.0,1.0,41175.0,1.0,1,80,41175.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,37
48,49,50778.0,1.0,50778.0,1.0,1,80,50778.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,76
49,50,98552.0,1.0,98552.0,1.0,1,80,98552.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,30
50,51,9103.0,1.0,9103.0,1.0,1,80,9103.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,13
51,52,28057.0,1.0,28057.0,1.0,1,80,28057.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,88
52,53,91464.0,1.0,91464.0,1.0,1,80,91464.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,70
53,54,19836.0,1.0,19836.0,1.0,1,80,19836.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,88
54,55,70729.0,1.0,70729.0,1.0,1,80,70729.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,45
55,56,78485.0,1.0,78485.0,1.0,1,80,78485.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,21
56,57,76422.0,1.0,76422.0,1.0,1,80,76422.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,26
57,58,252.0,1.0,252.0,1.0,1,80,252.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,75
58,59,85431.0,1.0,85431.0,1.0,1,80,85431.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,11
59,60,52516.0,1.0,52516.0,1.0,1,80,52516.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,41
60,61,53366.0,1.0,53366.0,1.0,1,80,53366.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,58
61,62,58477.0,1.0,58477.0,1.0,1,80,58477.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,71
62,63,86999.0,1.0,86999.0,1.0,1,80,86999.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,50
63,64,28783.0,1.0,28783.0,1.0,1,80,28783.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,95
64,65,30008.0,1.0,30008.0,1.0,1,80,30008.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,99
65,66,71812.0,1.0,71812.0,1.0,1,80,71812.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,9
66,67,26848.0,1.0,26848.0,1.0,1,80,26848.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,61
67,68,6103.0,1.0,6103.0,1.0,1,80,6103.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,32
68,69,21384.0,1.0,21384.0,1.0,1,80,21384.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,15
69,70,42805.0,1.0,42805.0,1.0,1,80,42805.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,35
70,71,21336.0,1.0,21336.0,1.0,1,80,21336.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,65
71,72,26242.0,1.0,26242.0,1.0,1,80,26242.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,90
72,73,67244.0,1.0,67244.0,1.0,1,80,67244.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,1
73,74,11609.0,1.0,11609.0,1.0,1,80,11609.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,12
74,75,88228.0,1.0,88228.0,1.0,1,80,88228.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,48
75,76,465.0,1.0,465.0,1.0,1,80,465.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,19
76,77,24094.0,1.0,24094.0,1.0,1,80,24094.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,22
77,78,39320.0,1.0,39320.0,1.0,1,80,39320.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,72
78,79,66453.0,1.0,66453.0,1.0,1,80,66453.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,67
79,80,18410.0,1.0,18410.0,1.0,1,80,18410.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,1
80,81,2416.0,1.0,2416.0,1.0,1,80,2416.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,49
81,82,96971.0,1.0,96971.0,1.0,1,80,96971.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,18
82,83,53731.0,1.0,53731.0,1.0,1,80,53731.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,15
83,84,24122.0,1.0,24122.0,1.0,1,80,24122.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,4
84,85,2394.0,1.0,2394.0,1.0,1,80,2394.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,94
85,86,84975.0,1.0,84975.0,1.0,1,80,84975.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,43
86,87,44570.0,1.0,44570.0,1.0,1,80,44570.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,79
87,88,70538.0,1.0,70538.0,1.0,1,80,70538.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,49
88,89,7259.0,1.0,7259.0,1.0,1,80,7259.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,96
89,90,26622.0,1.0,26622.0,1.0,1,80,26622.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,17
90,91,42181.0,1.0,42181.0,1.0,1,80,42181.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,38
91,92,57858.0,1.0,57858.0,1.0,1,80,57858.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,69
92,93,280.0,1.0,280.0,1.0,1,80,280.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,60
93,94,32857.0,1.0,32857.0,1.0,1,80,32857.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,40
94,95,23190.0,1.0,23190.0,1.0,1,80,23190.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,30
95,96,89429.0,1.0,89429.0,1.0,1,80,89429.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,98
96,97,56114.0,1.0,56114.0,1.0,1,80,56114.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,9
97,98,13988.0,1.0,13988.0,1.0,1,80,13988.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,1
98,99,58025.0,1.0,58025.0,1.0,1,80,58025.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,39
99,100,30952.0,1.0,30952.0,1.0,1,80,30952.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,95
100,101,84845.0,0.75,63634.0,1.0,99,999,84845.0,0.02,0.003,0.03,0.008,900.0,100.0,22
101,102,54587.0,0.75,40940.0,1.0,99,999,54587.0,0.02,0.003,0.03,0.008,900.0,100.0,26
102,103,6658.0,0.75,4994.0,1.0,99,999,6658.0,0.02,0.003,0.03,0.008,900.0,100.0,1
103,104,46471.0,0.75,34853.0,1.0,99,999,46471.0,0.02,0.003,0.03,0.008,900.0,100.0,27
104,105,89744.0,0.75,67308.0,1.0,99,999,89744.0,0.02,0.003,0.03,0.008,900.0,100.0,57
105,106,14139.0,0.75,10604.0,1.0,99,999,14139.0,0.02,0.003,0.03,0.008,900.0,100.0,89
106,107,86685.0,0.75,65014.0,1.0,99,999,86685.0,0.02,0.003,0.03,0.008,900.0,100.0,79
107,108,56227.0,0.75,42170.0,1.0,99,999,56227.0,0.02,0.003,0.03,0.008,900.0,100.0,48
108,109,39183.0,0.75,29387.0,1.0,99,999,39183.0,0.02,0.003,0.03,0.008,900.0,100.0,74
109,110,99886.0,0.75,74914.0,1.0,99,999,99886.0,0.02,0.003,0.03,0.008,900.0,100.0,8
110,111,15487.0,0.75,11616.0,1.0,99,999,15487.0,0.02,0.003,0.03,0.008,900.0,100.0,94
111,112,16769.0,0.75,12577.0,1.0,99,999,16769.0,0.02,0.003,0.03,0.008,900.0,100.0,59
112,113,73531.0,0.75,55149.0,1.0,99,999,73531.0,0.02,0.003,0.03,0.008,900.0,100.0,4
113,114,7732.0,0.75,5799.0,1.0,99,999,7732.0,0.02,0.003,0.03,0.008,900.0,100.0,41
114,115,68157.0,0.75,51118.0,1.0,99,999,68157.0,0.02,0.003,0.03,0.008,900.0,100.0,64
115,116,5995.0,0.75,4496.0,1.0,99,999,5995.0,0.02,0.003,0.03,0.008,900.0,100.0,76
116,117,27127.0,0.75,20345.0,1.0,99,999,27127.0,0.02,0.003,0.03,0.008,900.0,100.0,70
117,118,39787.0,0.75,29840.0,1.0,99,999,39787.0,0.02,0.003,0.03,0.008,900.0,100.0,11
118,119,27003.0,0.75,20253.0,1.0,99,999,27003.0,0.02,0.003,0.03,0.008,900.0,100.0,13
119,120,12633.0,0.75,9474.0,1.0,99,999,12633.0,0.02,0.003,0.03,0.008,900.0,100.0,28
