an_proj,scn_proj,RENDEMENT,TYPE
1.0,1.0,0.161104270216149,b'INTERNE'
1.0,2.0,0.114599020052002,b'INTERNE'
1.0,3.0,-0.285118914310582,b'INTERNE'
1.0,4.0,-0.239223517000152,b'INTERNE'
1.0,5.0,-0.24064769756351,b'INTERNE'
1.0,6.0,-0.185755718337231,b'INTERNE'
1.0,7.0,0.1101811132727,b'INTERNE'
1.0,8.0,-0.0435533903440906,b'INTERNE'
1.0,9.0,-0.154351154158415,b'INTERNE'
1.0,10.0,-0.179828215863759,b'INTERNE'
1.0,11.0,0.126524860064205,b'INTERNE'
1.0,12.0,0.146003950905541,b'INTERNE'
1.0,13.0,0.405649179370269,b'INTERNE'
1.0,14.0,0.0801742073438392,b'INTERNE'
1.0,15.0,0.0657554274637304,b'INTERNE'
1.0,16.0,0.394647455763816,b'INTERNE'
1.0,17.0,-0.262710249161518,b'INTERNE'
1.0,18.0,0.231393917730777,b'INTERNE'
1.0,19.0,0.332058213597405,b'INTERNE'
1.0,20.0,0.0282609967013727,b'INTERNE'
1.0,21.0,-0.0892335509494478,b'INTERNE'
1.0,22.0,0.0384659224947472,b'INTERNE'
1.0,23.0,0.200109043813643,b'INTERNE'
1.0,24.0,-0.185615955155598,b'INTERNE'
1.0,25.0,-0.0883859555140741,b'INTERNE'
1.0,26.0,0.218849501697442,b'INTERNE'
1.0,27.0,0.12517462410817,b'INTERNE'
1.0,28.0,-0.0442711478483647,b'INTERNE'
1.0,29.0,-0.152352366808506,b'INTERNE'
1.0,30.0,-0.0439068137784824,b'INTERNE'
1.0,31.0,0.00880697663039709,b'INTERNE'
1.0,32.0,0.104227894612827,b'INTERNE'
1.0,33.0,0.0851915227072515,b'INTERNE'
1.0,34.0,-0.182210980263969,b'INTERNE'
1.0,35.0,-0.0538667669422708,b'INTERNE'
1.0,36.0,0.352413860507934,b'INTERNE'
1.0,37.0,0.183300731734753,b'INTERNE'
1.0,38.0,0.011046536764409,b'INTERNE'
1.0,39.0,0.419479689567973,b'INTERNE'
1.0,40.0,-0.251811231039585,b'INTERNE'
1.0,41.0,-0.250035364363692,b'INTERNE'
1.0,42.0,-0.121275891545181,b'INTERNE'
1.0,43.0,0.163584714270528,b'INTERNE'
1.0,44.0,0.839689076386855,b'INTERNE'
1.0,45.0,0.242625260768529,b'INTERNE'
1.0,46.0,-0.128023494091671,b'INTERNE'
1.0,47.0,0.420313919625339,b'INTERNE'
1.0,48.0,0.132177284439916,b'INTERNE'
1.0,49.0,-0.0397973742386846,b'INTERNE'
1.0,50.0,-0.434642531977853,b'INTERNE'
1.0,51.0,0.0581611894615282,b'INTERNE'
1.0,52.0,-0.118501182782182,b'INTERNE'
1.0,53.0,0.154064075439542,b'INTERNE'
1.0,54.0,-0.231685304070593,b'INTERNE'
1.0,55.0,0.13224924354382,b'INTERNE'
1.0,56.0,0.18881736478426,b'INTERNE'
1.0,57.0,0.124471058330191,b'INTERNE'
1.0,58.0,-0.0350374290413549,b'INTERNE'
1.0,59.0,0.476893463353503,b'INTERNE'
1.0,60.0,0.355725984973513,b'INTERNE'
1.0,61.0,-0.0149197128837171,b'INTERNE'
1.0,62.0,0.0113581448234938,b'INTERNE'
1.0,63.0,-0.151978209289934,b'INTERNE'
1.0,64.0,0.109028435880437,b'INTERNE'
1.0,65.0,-0.184095423410378,b'INTERNE'
1.0,66.0,-0.195837074382708,b'INTERNE'
1.0,67.0,0.254591724589487,b'INTERNE'
1.0,68.0,-0.142223215529556,b'INTERNE'
1.0,69.0,0.0242587718660339,b'INTERNE'
1.0,70.0,-0.37254850490253,b'INTERNE'
1.0,71.0,0.285043161890601,b'INTERNE'
1.0,72.0,-0.387588408606674,b'INTERNE'
1.0,73.0,-0.146267324478761,b'INTERNE'
1.0,74.0,0.33831363168235,b'INTERNE'
1.0,75.0,-0.233143331664049,b'INTERNE'
1.0,76.0,0.48648608272721,b'INTERNE'
1.0,77.0,-0.166228271365978,b'INTERNE'
1.0,78.0,-0.0873322604457332,b'INTERNE'
1.0,79.0,0.0324430892867413,b'INTERNE'
1.0,80.0,0.169430638501548,b'INTERNE'
1.0,81.0,-0.148972067639079,b'INTERNE'
1.0,82.0,-0.0131413458912485,b'INTERNE'
1.0,83.0,-0.0728566843897127,b'INTERNE'
1.0,84.0,-0.341066543931938,b'INTERNE'
1.0,85.0,0.981808146890062,b'INTERNE'
1.0,86.0,0.0780286140557591,b'INTERNE'
1.0,87.0,-0.426776027228932,b'INTERNE'
1.0,88.0,-0.00361335744669422,b'INTERNE'
1.0,89.0,-0.264147667236455,b'INTERNE'
1.0,90.0,-0.133899088433731,b'INTERNE'
1.0,91.0,-0.0106137790921178,b'INTERNE'
1.0,92.0,-0.0723864466792731,b'INTERNE'
1.0,93.0,0.164308674601652,b'INTERNE'
1.0,94.0,-0.338265606838006,b'INTERNE'
1.0,95.0,0.0431920373356456,b'INTERNE'
1.0,96.0,-0.0271782788550893,b'INTERNE'
1.0,97.0,0.286020118916075,b'INTERNE'
1.0,98.0,0.0152714965661433,b'INTERNE'
1.0,99.0,-0.155791873969185,b'INTERNE'
1.0,100.0,0.0966230110080937,b'INTERNE'
2.0,1.0,-0.0911705548144642,b'INTERNE'
2.0,2.0,0.623267668541952,b'INTERNE'
2.0,3.0,-0.111882319167347,b'INTERNE'
2.0,4.0,0.00838128327791576,b'INTERNE'
2.0,5.0,0.00956356476704001,b'INTERNE'
2.0,6.0,-0.0558752055128241,b'INTERNE'
2.0,7.0,0.158832074059402,b'INTERNE'
2.0,8.0,0.449318047584157,b'INTERNE'
2.0,9.0,-0.182029541315188,b'INTERNE'
2.0,10.0,-0.231500334475783,b'INTERNE'
2.0,11.0,0.0117681052506857,b'INTERNE'
2.0,12.0,-0.198756526870119,b'INTERNE'
2.0,13.0,0.34834111426263,b'INTERNE'
2.0,14.0,-0.235312340547181,b'INTERNE'
2.0,15.0,-0.193406404555052,b'INTERNE'
2.0,16.0,0.0698618436225711,b'INTERNE'
2.0,17.0,-0.0881954426034213,b'INTERNE'
2.0,18.0,-0.143863963180619,b'INTERNE'
2.0,19.0,-0.0687096010827983,b'INTERNE'
2.0,20.0,0.50325137444377,b'INTERNE'
2.0,21.0,-0.100441551164041,b'INTERNE'
2.0,22.0,0.294235766047722,b'INTERNE'
2.0,23.0,-0.197673989924146,b'INTERNE'
2.0,24.0,0.0318686911906472,b'INTERNE'
2.0,25.0,-0.307972326456485,b'INTERNE'
2.0,26.0,0.0332930268024774,b'INTERNE'
2.0,27.0,0.368572923582166,b'INTERNE'
2.0,28.0,0.0253146803893285,b'INTERNE'
2.0,29.0,-0.295581363102057,b'INTERNE'
2.0,30.0,0.488293381869211,b'INTERNE'
2.0,31.0,0.113717666634717,b'INTERNE'
2.0,32.0,0.0910683959390712,b'INTERNE'
2.0,33.0,-0.388540894847945,b'INTERNE'
2.0,34.0,0.0892158987842187,b'INTERNE'
2.0,35.0,0.16712472539681,b'INTERNE'
2.0,36.0,0.16243420539826,b'INTERNE'
2.0,37.0,0.0454483987971643,b'INTERNE'
2.0,38.0,0.331824856993493,b'INTERNE'
2.0,39.0,-0.142683798314272,b'INTERNE'
2.0,40.0,-0.0535818064519047,b'INTERNE'
2.0,41.0,0.0937161764636805,b'INTERNE'
2.0,42.0,0.250345917091781,b'INTERNE'
2.0,43.0,-0.11164033102494,b'INTERNE'
2.0,44.0,-0.121429076497757,b'INTERNE'
2.0,45.0,-0.49465455812489,b'INTERNE'
