,AGE,QX
0,1,0.0002
1,2,0.0002
2,3,0.0002
3,4,0.0002
4,5,0.0001
5,6,0.0001
6,7,0.0001
7,8,0.0001
8,9,0.0001
9,10,0.0001
10,11,0.0001
11,12,0.0001
12,13,0.0001
13,14,0.0001
14,15,0.0004
15,16,0.0004
16,17,0.0004
17,18,0.0004
18,19,0.0004
19,20,0.0006
20,21,0.0006
21,22,0.0006
22,23,0.0006
23,24,0.0006
24,25,0.0008
25,26,0.0008
26,27,0.0008
27,28,0.0008
28,29,0.0008
29,30,0.001
30,31,0.001
31,32,0.001
32,33,0.001
33,34,0.001
34,35,0.0013
35,36,0.0013
36,37,0.0013
37,38,0.0013
38,39,0.0013
39,40,0.0016
40,41,0.0016
41,42,0.0016
42,43,0.0016
43,44,0.0016
44,45,0.0021
45,46,0.0021
46,47,0.0021
47,48,0.0021
48,49,0.0021
49,50,0.0031
50,51,0.0031
51,52,0.0031
52,53,0.0031
53,54,0.0031
54,55,0.0048
55,56,0.0048
56,57,0.0048
57,58,0.0048
58,59,0.0048
59,60,0.0073
60,61,0.0073
61,62,0.0073
62,63,0.0073
63,64,0.0073
64,65,0.011200000000000002
65,66,0.011200000000000002
66,67,0.011200000000000002
67,68,0.011200000000000002
68,69,0.011200000000000002
69,70,0.0173
70,71,0.0173
71,72,0.0173
72,73,0.0173
73,74,0.0173
74,75,0.028399999999999998
75,76,0.028399999999999998
76,77,0.028399999999999998
77,78,0.028399999999999998
78,79,0.028399999999999998
79,80,0.0492
80,81,0.0492
81,82,0.0492
82,83,0.0492
83,84,0.0492
84,85,0.0894
85,86,0.0894
86,87,0.0894
87,88,0.0894
88,89,0.0894
89,90,0.19579999999999997
90,91,0.19579999999999997
91,92,0.19579999999999997
92,93,0.19579999999999997
93,94,0.19579999999999997
94,95,0.19579999999999997
95,96,0.19579999999999997
96,97,0.19579999999999997
97,98,0.19579999999999997
98,99,1.0
99,100,1.0
