ID_COMPTE;CHOC_TYPE;CHOC_IDX;RESERVE_BE;CAPITAL_REQ;SCR
1;BASE;0;-33.542973;-35.395973;-1.8530006
1;SP500_SHOCK;1;-33.62802;-35.7781;-2.1500778
1;TSX_SHOCK;2;-33.576214;-35.56931;-1.9930954
1;EAFE_SHOCK;3;-33.55656;-35.46359;-1.9070282
1;DEX_SHOCK;4;-33.58926;-35.548515;-1.9592552
2;BASE;0;-20.245155;-25.821009;-5.5758533
2;SP500_SHOCK;1;-20.78588;-27.33118;-6.5453014
2;TSX_SHOCK;2;-20.299665;-25.977337;-5.6776714
2;EAFE_SHOCK;3;-20.304596;-25.997498;-5.6929016
2;DEX_SHOCK;4;-20.326092;-26.023731;-5.6976395
3;BASE;0;-36.606136;-40.435673;-3.8295364
3;SP500_SHOCK;1;-36.70993;-40.59244;-3.8825111
3;TSX_SHOCK;2;-36.739212;-40.621277;-3.8820648
3;EAFE_SHOCK;3;-36.7013;-40.575264;-3.8739624
3;DEX_SHOCK;4;-36.902775;-40.914574;-4.011799
4;BASE;0;66.09228;10.861806;-55.230473
4;SP500_SHOCK;1;61.99399;8.122796;-53.871197
4;TSX_SHOCK;2;63.04939;8.837888;-54.211502
4;EAFE_SHOCK;3;65.14611;10.228955;-54.917156
4;DEX_SHOCK;4;61.78961;7.9273977;-53.862213
5;BASE;0;-173.9671;-156.34769;17.619415
5;SP500_SHOCK;1;-172.4791;-155.88934;16.589752
5;TSX_SHOCK;2;-172.34476;-155.66505;16.679703
5;EAFE_SHOCK;3;-173.46498;-156.17046;17.294525
5;DEX_SHOCK;4;-172.97061;-156.15437;16.816238
6;BASE;0;-13.6423235;-38.158226;-24.515903
6;SP500_SHOCK;1;-16.405813;-41.39585;-24.990038
6;TSX_SHOCK;2;-15.130157;-39.800877;-24.67072
6;EAFE_SHOCK;3;-13.9023075;-38.45391;-24.551603
6;DEX_SHOCK;4;-14.498595;-39.196323;-24.697727
7;BASE;0;-28.773735;-35.422874;-6.6491394
7;SP500_SHOCK;1;-29.333809;-35.902435;-6.5686264
7;TSX_SHOCK;2;-29.020832;-35.628292;-6.60746
7;EAFE_SHOCK;3;-29.1657;-35.74999;-6.5842876
7;DEX_SHOCK;4;-28.949846;-35.588593;-6.6387463
8;BASE;0;-99.33486;-101.42915;-2.0942917
8;SP500_SHOCK;1;-99.34249;-101.84114;-2.4986496
8;TSX_SHOCK;2;-99.32563;-101.605484;-2.2798538
8;EAFE_SHOCK;3;-99.33362;-101.49005;-2.156433
8;DEX_SHOCK;4;-99.403915;-101.798386;-2.3944702
9;BASE;0;-35.57085;-41.80014;-6.22929
9;SP500_SHOCK;1;-35.796505;-42.03756;-6.2410545
9;TSX_SHOCK;2;-35.754173;-41.978714;-6.2245407
9;EAFE_SHOCK;3;-35.79506;-42.03053;-6.23547
9;DEX_SHOCK;4;-36.077923;-42.361034;-6.2831116
10;BASE;0;-34.364616;-34.91825;-0.55363464
10;SP500_SHOCK;1;-34.369503;-35.028942;-0.6594391
10;TSX_SHOCK;2;-34.36285;-34.993404;-0.6305542
10;EAFE_SHOCK;3;-34.364822;-34.94437;-0.5795479
10;DEX_SHOCK;4;-34.376053;-35.01179;-0.6357384
11;BASE;0;-78.345215;-89.05168;-10.706467
11;SP500_SHOCK;1;-79.55465;-90.00401;-10.449364
11;TSX_SHOCK;2;-78.593;-89.24772;-10.6547165
11;EAFE_SHOCK;3;-78.66327;-89.29848;-10.635208
11;DEX_SHOCK;4;-78.928185;-89.5689;-10.640717
12;BASE;0;-40.59002;-96.21186;-55.62184
12;SP500_SHOCK;1;-42.99171;-102.8156;-59.823887
12;TSX_SHOCK;2;-41.03216;-97.54866;-56.5165
