ID_COMPTE;DELTA_SP500_RESERVE;DELTA_TSX_RESERVE;DELTA_EAFE_RESERVE;DELTA_DEX_RESERVE;DELTA_SP500_CAPITAL;DELTA_TSX_CAPITAL;DELTA_EAFE_CAPITAL;DELTA_DEX_CAPITAL
1;-0.085048676;-0.033241272;-0.013587952;-0.046287537;-0.38212585;-0.17333603;-0.06761551;-0.15254211
2;-0.5407238;-0.054510117;-0.059440613;-0.08093643;-1.5101719;-0.1563282;-0.17648888;-0.20272255
3;-0.1037941;-0.13307571;-0.09516525;-0.2966385;-0.1567688;-0.1856041;-0.13959122;-0.4789009
4;-4.0982857;-3.0428886;-0.946167;-4.3026657;-2.7390099;-2.0239182;-0.63285065;-2.9344082
5;1.4880066;1.622345;0.502121;0.9964905;0.4583435;0.68263245;0.17723083;0.1933136
6;-2.7634897;-1.487834;-0.25998402;-0.85627174;-3.2376251;-1.6426506;-0.2956848;-1.0380974
7;-0.56007385;-0.24709702;-0.39196587;-0.17611122;-0.47956085;-0.20541763;-0.3271141;-0.16571808
8;-0.0076293945;0.009231567;0.0012435913;-0.06905365;-0.4119873;-0.17633057;-0.060897827;-0.36923218
9;-0.2256546;-0.1833229;-0.22420883;-0.50707245;-0.23741913;-0.17857361;-0.23038864;-0.560894
10;-0.004886627;0.0017662048;-0.00020599365;-0.011436462;-0.11069107;-0.07515335;-0.026119232;-0.09354019
11;-1.2094345;-0.24778748;-0.3180542;-0.58296967;-0.95233154;-0.19603729;-0.24679565;-0.51721954
12;-2.4016914;-0.4421425;-0.97885895;-0.9057045;-6.603737;-1.3367996;-2.9358597;-2.377945
13;0.0317688;0.011024475;0.019371033;0.019447327;-0.21404266;-0.06800842;-0.115226746;-0.30361938
14;0.07859039;0.0058059692;0.015655518;0.0058898926;0.0033798218;-0.0040512085;0.0009384155;-0.035614014
15;0.39180756;0.028083801;0.38511658;0.49948883;0.19572449;0.013656616;0.200943;0.20290375
16;-0.045448303;-0.010604858;-0.012084961;-0.022172928;-0.25351715;-0.06536865;-0.073970795;-0.10980415
17;-2.5469398;-1.0272369;-1.0170631;-2.9548264;-25.276855;-11.34816;-11.158005;-21.534286
18;-0.8430176;-0.16764832;-0.03250122;-0.06821442;-2.8241653;-0.6047592;-0.11932373;-0.18058014
19;-0.021678925;-0.012893677;-0.0065250397;-0.014888763;-0.126997;-0.08521652;-0.038434982;-0.07401848
20;0.43211365;0.049263;0.07922363;-0.10094452;-3.2487335;-0.40847015;-0.34420776;-0.5581207
21;-0.102838516;-0.013519287;-0.019216537;-0.05024147;-0.4325695;-0.0522995;-0.08330345;-0.16768074
22;-0.28069496;-0.048332214;-0.049785614;-0.20510101;-0.8418064;-0.14796257;-0.15540314;-0.529129
23;0.0;0.0;-0.026973724;0.0;0.0;0.0;-0.017532349;0.0
24;0.023109436;0.06951523;0.06397247;0.15054321;-0.03199768;-0.07543945;-0.081150055;-0.2214508
25;0.029037476;0.018913269;0.023399353;0.021461487;0.017753601;0.010879517;0.01612854;-0.0036621094
26;-0.14072418;-0.035591125;-0.07157898;-0.14585114;-0.3190384;-0.07333374;-0.15251923;-0.33257294
27;0.4587555;0.42433167;0.19889832;0.16497803;-0.44033813;-0.19275665;-0.15040588;-0.5027695
28;-6.25021;-3.2110405;-0.7871094;-1.2643738;-14.609589;-8.301727;-1.9133911;-2.6457672
29;-0.025497437;-0.002090454;-0.016983032;-0.08627319;-0.38599396;-0.027015686;-0.35235596;-0.6130066
30;0.0046463013;0.00655365;0.0034103394;-0.0037841797;-0.0765686;-0.053375244;-0.04008484;-0.40327454
31;-5.682022;-2.6312408;-0.7384949;-1.2746277;-3.6540432;-1.695137;-0.47595215;-0.82416916
32;-0.010732651;-0.007293701;-0.0018939972;-0.006635666;-0.115571976;-0.10461235;-0.022724152;-0.05993271
33;0.12844086;0.078437805;0.043678284;0.015785217;-0.18042755;-0.07102203;-0.051765442;-0.21455383
34;-0.18747711;-0.031799316;-0.05025482;-0.12244415;-0.4545822;-0.06124878;-0.10810089;-0.2525177
35;-0.2875557;-0.09277344;-0.017997742;-0.08683777;-1.0485001;-0.32688522;-0.06397247;-0.2790184
36;-0.027236938;-0.00806427;-0.013656616;-0.06271744;-0.22406387;-0.17282486;-0.1486702;-0.30444336
37;-1.1529999;-1.1085434;-0.23085022;-0.19384003;-3.4523544;-4.7016983;-0.75309753;-0.5090637
38;-17.422699;-52.78131;-21.2753;-33.856262;-12.53307;-39.727192;-15.438839;-24.096317
39;0.117687225;0.20553207;0.15285873;0.1748085;-0.019180298;0.030406952;-0.0051574707;-0.12859344
40;-0.31516075;-0.91984546;-0.86810756;-2.1115599;-0.23393631;-0.65976906;-0.6348152;-1.6100693
41;-0.575119;-0.12722015;-0.024963379;-0.046173096;-0.9374237;-0.19939423;-0.03957367;-0.06958008
42;-0.39657593;-0.14361572;-0.103507996;-0.27799225;-1.5361023;-0.5714798;-0.41827393;-0.8195114
43;-0.017261505;-0.0014801025;-0.012180328;-0.054576874;-0.43219376;-0.029109955;-0.40247345;-0.63772583
44;-1.0661755;-0.38538933;-0.3571415;-0.69589996;-4.041622;-1.6144447;-1.4774208;-2.525753
45;0.70118713;0.66295624;0.12017059;1.1648407;0.19274902;0.21421814;0.03514862;0.29787445
46;-1.4556961;-0.7720833;-0.20459366;-0.2342453;-1.2788239;-0.6548004;-0.1747818;-0.21603775
47;40.825928;3.4625854;10.750122;17.803406;24.23993;2.041809;6.4490356;9.94043
48;0.41607666;0.18569183;0.07254028;0.028213501;-0.40628815;-0.115364075;-0.049308777;-0.16428375
49;-0.9771395;-0.45786572;-0.095541954;-0.12315464;-3.8240433;-2.0185013;-0.4099388;-0.45816803
50;-0.0033435822;-0.009294033;-0.009689331;-0.030369759;-0.048347473;-0.13449287;-0.13128853;-0.31777573
51;0.030742645;0.057819366;0.013092041;0.0019607544;-0.24547958;-0.1967926;-0.0703392;-0.085048676
52;-0.23394394;-0.0073890686;-0.015396118;-0.067401886;-1.3293076;-0.6320267;-0.124313354;-0.1836319
53;-1.8204002;-3.255062;-0.26584244;-0.9345436;-2.2351913;-4.069336;-0.32752228;-1.1446152
54;-0.5987854;-0.28408432;-0.13619232;-0.24214172;-0.80717087;-0.36776352;-0.18120956;-0.32445145
55;0.65756226;0.56334686;0.2568817;0.9375763;-0.1391449;-0.025245667;-0.036338806;-0.44441986
56;9.328888;2.1755981;2.058319;2.5844727;4.6970825;1.1225586;1.0661621;0.8911438
57;-0.46775818;-0.3640976;-0.1956749;-0.19735718;-1.4591141;-1.6289291;-0.660614;-0.521698
58;-0.7227783;-0.36906433;-0.30485535;-1.076477;-1.4681091;-0.69784546;-0.5900879;-2.104721
59;1.1387177;2.2646484;0.6744995;1.6291962;0.66412354;1.4409637;0.40689087;0.90193176
60;1.3915787;0.5679703;0.19257355;0.1550827;0.0756073;0.059188843;0.0029907227;-0.040023804
61;-0.066856384;-0.16094208;-0.08640289;-0.17271423;-0.07244873;-0.13113403;-0.08744049;-0.21798706
62;0.010879517;0.007270813;0.009223938;0.007209778;-0.023246765;-0.0123176575;-0.016773224;-0.031383514
63;0.6926193;0.14727783;0.37761688;0.0958786;0.1616211;0.036514282;0.107284546;0.002456665
64;-11.402649;-7.885681;-4.4157715;-5.4757385;-7.189163;-4.9873505;-2.7966156;-3.4665375
65;-0.0005455017;-0.0002632141;-0.0002975464;-0.0010204315;-0.014499664;-0.007966995;-0.010690689;-0.016239166
