ID_COMPTE,MT_VM,PC_GAR_ECH,MT_GAR_ECH,PC_GAR_DECES,FREQ_RESET_DECES,MAX_RESET_DECES,MT_GAR_DECES,PC_REVENU_FDS,PC_HONORAIRES_GEST,TX_COMM_VENTE,TX_COMM_MAINTIEN,FRAIS_ACQUI,FRAIS_ADMIN,age_deb
1,"$65,301",100%,"$65,301",100%,1,80,"$65,301",2.20%,0.30%,3.00%,0.80%,$900,$100,49
2,"$31,945",100%,"$31,945",100%,1,80,"$31,945",2.20%,0.30%,3.00%,0.80%,$900,$100,9
3,"$28,716",100%,"$28,716",100%,1,80,"$28,716",2.20%,0.30%,3.00%,0.80%,$900,$100,57
4,"$34,104",100%,"$34,104",100%,1,80,"$34,104",2.20%,0.30%,3.00%,0.80%,$900,$100,29
5,"$45,183",100%,"$45,183",100%,1,80,"$45,183",2.20%,0.30%,3.00%,0.80%,$900,$100,1
6,"$88,599",100%,"$88,599",100%,1,80,"$88,599",2.20%,0.30%,3.00%,0.80%,$900,$100,5
7,"$37,871",100%,"$37,871",100%,1,80,"$37,871",2.20%,0.30%,3.00%,0.80%,$900,$100,53
8,"$21,692",100%,"$21,692",100%,1,80,"$21,692",2.20%,0.30%,3.00%,0.80%,$900,$100,49
9,"$95,106",100%,"$95,106",100%,1,80,"$95,106",2.20%,0.30%,3.00%,0.80%,$900,$100,46
10,"$89,379",100%,"$89,379",100%,1,80,"$89,379",2.20%,0.30%,3.00%,0.80%,$900,$100,3
11,"$17,718",100%,"$17,718",100%,1,80,"$17,718",2.20%,0.30%,3.00%,0.80%,$900,$100,55
12,"$23,952",100%,"$23,952",100%,1,80,"$23,952",2.20%,0.30%,3.00%,0.80%,$900,$100,39
13,"$56,992",100%,"$56,992",100%,1,80,"$56,992",2.20%,0.30%,3.00%,0.80%,$900,$100,57
14,"$66,450",100%,"$66,450",100%,1,80,"$66,450",2.20%,0.30%,3.00%,0.80%,$900,$100,81
15,"$1,781",100%,"$1,781",100%,1,80,"$1,781",2.20%,0.30%,3.00%,0.80%,$900,$100,5
16,"$23,249",100%,"$23,249",100%,1,80,"$23,249",2.20%,0.30%,3.00%,0.80%,$900,$100,11
17,"$65,070",100%,"$65,070",100%,1,80,"$65,070",2.20%,0.30%,3.00%,0.80%,$900,$100,5
18,"$65,722",100%,"$65,722",100%,1,80,"$65,722",2.20%,0.30%,3.00%,0.80%,$900,$100,70
19,"$23,954",100%,"$23,954",100%,1,80,"$23,954",2.20%,0.30%,3.00%,0.80%,$900,$100,53
20,"$16,992",100%,"$16,992",100%,1,80,"$16,992",2.20%,0.30%,3.00%,0.80%,$900,$100,50
21,"$91,499",100%,"$91,499",100%,1,80,"$91,499",2.20%,0.30%,3.00%,0.80%,$900,$100,25
22,"$69,313",100%,"$69,313",100%,1,80,"$69,313",2.20%,0.30%,3.00%,0.80%,$900,$100,92
23,"$21,341",100%,"$21,341",100%,1,80,"$21,341",2.20%,0.30%,3.00%,0.80%,$900,$100,28
24,"$4,164",100%,"$4,164",100%,1,80,"$4,164",2.20%,0.30%,3.00%,0.80%,$900,$100,66
25,"$68,057",100%,"$68,057",100%,1,80,"$68,057",2.20%,0.30%,3.00%,0.80%,$900,$100,32
26,"$89,846",100%,"$89,846",100%,1,80,"$89,846",2.20%,0.30%,3.00%,0.80%,$900,$100,22
27,"$80,849",100%,"$80,849",100%,1,80,"$80,849",2.20%,0.30%,3.00%,0.80%,$900,$100,3
28,"$74,490",100%,"$74,490",100%,1,80,"$74,490",2.20%,0.30%,3.00%,0.80%,$900,$100,81
29,"$31,560",100%,"$31,560",100%,1,80,"$31,560",2.20%,0.30%,3.00%,0.80%,$900,$100,57
30,"$96,802",100%,"$96,802",100%,1,80,"$96,802",2.20%,0.30%,3.00%,0.80%,$900,$100,16
31,"$49,975",100%,"$49,975",100%,1,80,"$49,975",2.20%,0.30%,3.00%,0.80%,$900,$100,55
32,"$90,927",100%,"$90,927",100%,1,80,"$90,927",2.20%,0.30%,3.00%,0.80%,$900,$100,35
33,"$3,630",100%,"$3,630",100%,1,80,"$3,630",2.20%,0.30%,3.00%,0.80%,$900,$100,34
34,"$50,199",100%,"$50,199",100%,1,80,"$50,199",2.20%,0.30%,3.00%,0.80%,$900,$100,39
35,"$72,387",100%,"$72,387",100%,1,80,"$72,387",2.20%,0.30%,3.00%,0.80%,$900,$100,54
36,"$34,346",100%,"$34,346",100%,1,80,"$34,346",2.20%,0.30%,3.00%,0.80%,$900,$100,28
37,"$85,804",100%,"$85,804",100%,1,80,"$85,804",2.20%,0.30%,3.00%,0.80%,$900,$100,43
38,"$23,215",100%,"$23,215",100%,1,80,"$23,215",2.20%,0.30%,3.00%,0.80%,$900,$100,84
39,"$5,204",100%,"$5,204",100%,1,80,"$5,204",2.20%,0.30%,3.00%,0.80%,$900,$100,56
40,"$47,102",100%,"$47,102",100%,1,80,"$47,102",2.20%,0.30%,3.00%,0.80%,$900,$100,23
41,"$43,034",100%,"$43,034",100%,1,80,"$43,034",2.20%,0.30%,3.00%,0.80%,$900,$100,91
42,"$76,792",100%,"$76,792",100%,1,80,"$76,792",2.20%,0.30%,3.00%,0.80%,$900,$100,22
43,"$29,915",100%,"$29,915",100%,1,80,"$29,915",2.20%,0.30%,3.00%,0.80%,$900,$100,25
44,"$56,193",100%,"$56,193",100%,1,80,"$56,193",2.20%,0.30%,3.00%,0.80%,$900,$100,93
45,"$14,054",100%,"$14,054",100%,1,80,"$14,054",2.20%,0.30%,3.00%,0.80%,$900,$100,1
46,"$6,706",100%,"$6,706",100%,1,80,"$6,706",2.20%,0.30%,3.00%,0.80%,$900,$100,3
47,"$7,668",100%,"$7,668",100%,1,80,"$7,668",2.20%,0.30%,3.00%,0.80%,$900,$100,4
48,"$41,175",100%,"$41,175",100%,1,80,"$41,175",2.20%,0.30%,3.00%,0.80%,$900,$100,37
49,"$50,778",100%,"$50,778",100%,1,80,"$50,778",2.20%,0.30%,3.00%,0.80%,$900,$100,76
50,"$98,552",100%,"$98,552",100%,1,80,"$98,552",2.20%,0.30%,3.00%,0.80%,$900,$100,30
51,"$9,103",100%,"$9,103",100%,1,80,"$9,103",2.20%,0.30%,3.00%,0.80%,$900,$100,13
52,"$28,057",100%,"$28,057",100%,1,80,"$28,057",2.20%,0.30%,3.00%,0.80%,$900,$100,88
53,"$91,464",100%,"$91,464",100%,1,80,"$91,464",2.20%,0.30%,3.00%,0.80%,$900,$100,70
54,"$19,836",100%,"$19,836",100%,1,80,"$19,836",2.20%,0.30%,3.00%,0.80%,$900,$100,88
55,"$70,729",100%,"$70,729",100%,1,80,"$70,729",2.20%,0.30%,3.00%,0.80%,$900,$100,45
56,"$78,485",100%,"$78,485",100%,1,80,"$78,485",2.20%,0.30%,3.00%,0.80%,$900,$100,21
57,"$76,422",100%,"$76,422",100%,1,80,"$76,422",2.20%,0.30%,3.00%,0.80%,$900,$100,26
58,$252,100%,$252,100%,1,80,$252,2.20%,0.30%,3.00%,0.80%,$900,$100,75
59,"$85,431",100%,"$85,431",100%,1,80,"$85,431",2.20%,0.30%,3.00%,0.80%,$900,$100,11
60,"$52,516",100%,"$52,516",100%,1,80,"$52,516",2.20%,0.30%,3.00%,0.80%,$900,$100,41
61,"$53,366",100%,"$53,366",100%,1,80,"$53,366",2.20%,0.30%,3.00%,0.80%,$900,$100,58
62,"$58,477",100%,"$58,477",100%,1,80,"$58,477",2.20%,0.30%,3.00%,0.80%,$900,$100,71
63,"$86,999",100%,"$86,999",100%,1,80,"$86,999",2.20%,0.30%,3.00%,0.80%,$900,$100,50
