an_proj,scn_proj,RENDEMENT,TYPE
1,1,0.1611042702,INTERNE
1,2,0.1145990201,INTERNE
1,3,-0.285118914,INTERNE
1,4,-0.239223517,INTERNE
1,5,-0.240647698,INTERNE
1,6,-0.185755718,INTERNE
1,7,0.1101811133,INTERNE
1,8,-0.04355339,INTERNE
1,9,-0.154351154,INTERNE
1,10,-0.179828216,INTERNE
1,11,0.1265248601,INTERNE
1,12,0.1460039509,INTERNE
1,13,0.4056491794,INTERNE
1,14,0.0801742073,INTERNE
1,15,0.0657554275,INTERNE
1,16,0.3946474558,INTERNE
1,17,-0.262710249,INTERNE
1,18,0.2313939177,INTERNE
1,19,0.3320582136,INTERNE
1,20,0.0282609967,INTERNE
1,21,-0.089233551,INTERNE
1,22,0.0384659225,INTERNE
1,23,0.2001090438,INTERNE
1,24,-0.185615955,INTERNE
1,25,-0.088385956,INTERNE
1,26,0.2188495017,INTERNE
1,27,0.1251746241,INTERNE
1,28,-0.044271148,INTERNE
1,29,-0.152352367,INTERNE
1,30,-0.043906814,INTERNE
1,31,0.0088069766,INTERNE
1,32,0.1042278946,INTERNE
1,33,0.0851915227,INTERNE
1,34,-0.18221098,INTERNE
1,35,-0.053866767,INTERNE
1,36,0.3524138605,INTERNE
1,37,0.1833007317,INTERNE
1,38,0.0110465368,INTERNE
1,39,0.4194796896,INTERNE
1,40,-0.251811231,INTERNE
1,41,-0.250035364,INTERNE
1,42,-0.121275892,INTERNE
1,43,0.1635847143,INTERNE
1,44,0.8396890764,INTERNE
1,45,0.2426252608,INTERNE
1,46,-0.128023494,INTERNE
1,47,0.4203139196,INTERNE
1,48,0.1321772844,INTERNE
1,49,-0.039797374,INTERNE
1,50,-0.434642532,INTERNE
1,51,0.0581611895,INTERNE
1,52,-0.118501183,INTERNE
1,53,0.1540640754,INTERNE
1,54,-0.231685304,INTERNE
1,55,0.1322492435,INTERNE
1,56,0.1888173648,INTERNE
1,57,0.1244710583,INTERNE
1,58,-0.035037429,INTERNE
1,59,0.4768934634,INTERNE
1,60,0.355725985,INTERNE
1,61,-0.014919713,INTERNE
1,62,0.0113581448,INTERNE
1,63,-0.151978209,INTERNE
1,64,0.1090284359,INTERNE
1,65,-0.184095423,INTERNE
1,66,-0.195837074,INTERNE
1,67,0.2545917246,INTERNE
1,68,-0.142223216,INTERNE
1,69,0.0242587719,INTERNE
1,70,-0.372548505,INTERNE
1,71,0.2850431619,INTERNE
1,72,-0.387588409,INTERNE
1,73,-0.146267324,INTERNE
1,74,0.3383136317,INTERNE
1,75,-0.233143332,INTERNE
1,76,0.4864860827,INTERNE
1,77,-0.166228271,INTERNE
1,78,-0.08733226,INTERNE
1,79,0.0324430893,INTERNE
1,80,0.1694306385,INTERNE
1,81,-0.148972068,INTERNE
1,82,-0.013141346,INTERNE
1,83,-0.072856684,INTERNE
1,84,-0.341066544,INTERNE
1,85,0.9818081469,INTERNE
1,86,0.0780286141,INTERNE
1,87,-0.426776027,INTERNE
1,88,-0.003613357,INTERNE
1,89,-0.264147667,INTERNE
1,90,-0.133899088,INTERNE
1,91,-0.010613779,INTERNE
1,92,-0.072386447,INTERNE
1,93,0.1643086746,INTERNE
1,94,-0.338265607,INTERNE
1,95,0.0431920373,INTERNE
1,96,-0.027178279,INTERNE
1,97,0.2860201189,INTERNE
1,98,0.0152714966,INTERNE
1,99,-0.155791874,INTERNE
1,100,0.096623011,INTERNE
2,1,-0.091170555,INTERNE
2,2,0.6232676685,INTERNE
2,3,-0.111882319,INTERNE
2,4,0.0083812833,INTERNE
2,5,0.0095635648,INTERNE
2,6,-0.055875206,INTERNE
2,7,0.1588320741,INTERNE
2,8,0.4493180476,INTERNE
2,9,-0.182029541,INTERNE
2,10,-0.231500334,INTERNE
2,11,0.0117681053,INTERNE
2,12,-0.198756527,INTERNE
2,13,0.3483411143,INTERNE
2,14,-0.235312341,INTERNE
2,15,-0.193406405,INTERNE
2,16,0.0698618436,INTERNE
2,17,-0.088195443,INTERNE
2,18,-0.143863963,INTERNE
2,19,-0.068709601,INTERNE
2,20,0.5032513744,INTERNE
2,21,-0.100441551,INTERNE
2,22,0.294235766,INTERNE
2,23,-0.19767399,INTERNE
2,24,0.0318686912,INTERNE
2,25,-0.307972326,INTERNE
2,26,0.0332930268,INTERNE
2,27,0.3685729236,INTERNE
2,28,0.0253146804,INTERNE
2,29,-0.295581363,INTERNE
2,30,0.4882933819,INTERNE
2,31,0.1137176666,INTERNE
2,32,0.0910683959,INTERNE
2,33,-0.388540895,INTERNE
2,34,0.0892158988,INTERNE
2,35,0.1671247254,INTERNE
2,36,0.1624342054,INTERNE
2,37,0.0454483988,INTERNE
2,38,0.331824857,INTERNE
2,39,-0.142683798,INTERNE
2,40,-0.053581806,INTERNE
2,41,0.0937161765,INTERNE
2,42,0.2503459171,INTERNE
2,43,-0.111640331,INTERNE
2,44,-0.121429076,INTERNE
2,45,-0.494654558,INTERNE
2,46,-0.118328525,INTERNE
2,47,0.0618021561,INTERNE
2,48,0.3259828172,INTERNE
2,49,0.1740936714,INTERNE
2,50,-0.250700405,INTERNE
2,51,-0.143673957,INTERNE
2,52,0.3970789911,INTERNE
2,53,-0.362443295,INTERNE
2,54,0.1502364487,INTERNE
2,55,0.1307682497,INTERNE
2,56,0.2769707328,INTERNE
2,57,-0.163651615,INTERNE
2,58,-0.015494881,INTERNE
2,59,0.768262495,INTERNE
2,60,0.2994341125,INTERNE
2,61,-0.148525069,INTERNE
2,62,0.2139019466,INTERNE
2,63,-0.234274793,INTERNE
2,64,-0.322700545,INTERNE
2,65,-0.320489214,INTERNE
2,66,-0.195687629,INTERNE
2,67,0.0016917095,INTERNE
2,68,-0.208201334,INTERNE
2,69,-0.140620282,INTERNE
2,70,0.5965370282,INTERNE
2,71,-0.018001876,INTERNE
2,72,0.0544855656,INTERNE
2,73,0.6848005324,INTERNE
2,74,0.2124774573,INTERNE
2,75,-0.150018972,INTERNE
2,76,0.1277314573,INTERNE
2,77,0.1540200056,INTERNE
2,78,-0.234583278,INTERNE
2,79,0.0799564681,INTERNE
2,80,-0.164268097,INTERNE
2,81,-0.080911667,INTERNE
2,82,-0.108042549,INTERNE
2,83,0.2062599966,INTERNE
2,84,-0.148921139,INTERNE
2,85,-0.258903082,INTERNE
2,86,-0.103953583,INTERNE
2,87,-0.091273517,INTERNE
2,88,-0.117381365,INTERNE
2,89,-0.241028036,INTERNE
2,90,-0.313224689,INTERNE
2,91,0.0957687003,INTERNE
2,92,-0.052537556,INTERNE
2,93,0.5838901521,INTERNE
2,94,0.7378683012,INTERNE
2,95,0.0050260775,INTERNE
2,96,-0.295709023,INTERNE
2,97,-0.063091474,INTERNE
2,98,0.2432160573,INTERNE
2,99,-0.162102716,INTERNE
2,100,-0.062155358,INTERNE
3,1,-0.274724307,INTERNE
3,2,0.2988299362,INTERNE
3,3,0.0920924147,INTERNE
3,4,-0.040557839,INTERNE
3,5,-0.248796131,INTERNE
3,6,0.0829397197,INTERNE
3,7,-0.052352123,INTERNE
3,8,0.3376146598,INTERNE
3,9,-0.418141846,INTERNE
3,10,0.2335664772,INTERNE
3,11,-0.044563627,INTERNE
3,12,0.404543729,INTERNE
3,13,0.3944541657,INTERNE
3,14,-0.088562532,INTERNE
3,15,-0.147764505,INTERNE
3,16,-0.07261832,INTERNE
3,17,-0.043550344,INTERNE
3,18,0.6753877157,INTERNE
3,19,0.0452828195,INTERNE
3,20,-0.138236389,INTERNE
3,21,-0.004845215,INTERNE
3,22,0.3462114313,INTERNE
3,23,-0.161670314,INTERNE
3,24,0.4631484215,INTERNE
3,25,0.3395187114,INTERNE
3,26,-0.228922217,INTERNE
3,27,-0.239602265,INTERNE
3,28,0.3591491076,INTERNE
3,29,0.2380170649,INTERNE
3,30,0.389312748,INTERNE
3,31,0.0179802139,INTERNE
3,32,0.1422286486,INTERNE
3,33,-0.084878424,INTERNE
3,34,0.2765558661,INTERNE
3,35,-0.060095196,INTERNE
3,36,0.0269091079,INTERNE
3,37,0.061922991,INTERNE
3,38,-0.148140959,INTERNE
3,39,0.1996754871,INTERNE
3,40,-0.346832556,INTERNE
3,41,0.4251419867,INTERNE
3,42,0.2927009785,INTERNE
3,43,0.2099516686,INTERNE
3,44,0.0478854382,INTERNE
3,45,0.0146490988,INTERNE
3,46,-0.01607937,INTERNE
3,47,0.7533759872,INTERNE
3,48,0.2089674083,INTERNE
3,49,-0.095258337,INTERNE
3,50,0.2703209262,INTERNE
3,51,-0.021837374,INTERNE
3,52,0.1828174711,INTERNE
3,53,-0.318066996,INTERNE
3,54,-0.273973593,INTERNE
3,55,-0.29051014,INTERNE
3,56,-0.211604119,INTERNE
3,57,-0.177170855,INTERNE
3,58,0.1002686418,INTERNE
3,59,0.0647117497,INTERNE
3,60,-0.264389754,INTERNE
3,61,-0.155675757,INTERNE
3,62,-0.140507971,INTERNE
3,63,-0.031867664,INTERNE
3,64,0.1214327882,INTERNE
3,65,0.1873116984,INTERNE
3,66,0.0701977294,INTERNE
3,67,-0.106961065,INTERNE
3,68,0.4411614135,INTERNE
3,69,-0.054153785,INTERNE
3,70,-0.223429293,INTERNE
3,71,0.0984070776,INTERNE
3,72,0.3095108301,INTERNE
3,73,-0.089928879,INTERNE
3,74,-0.029549107,INTERNE
3,75,0.1778745585,INTERNE
3,76,0.7050954714,INTERNE
3,77,0.0379915338,INTERNE
3,78,-0.263653039,INTERNE
3,79,-0.196313649,INTERNE
3,80,-0.062532537,INTERNE
3,81,-0.187809948,INTERNE
3,82,-0.149666391,INTERNE
3,83,-0.413862611,INTERNE
3,84,-0.153405996,INTERNE
3,85,-0.018524412,INTERNE
3,86,-0.220784257,INTERNE
3,87,0.4830571531,INTERNE
3,88,0.4775203107,INTERNE
3,89,-0.232531501,INTERNE
3,90,0.0400547053,INTERNE
3,91,-0.066445804,INTERNE
3,92,0.0425517559,INTERNE
3,93,-0.213440164,INTERNE
3,94,-0.052675286,INTERNE
3,95,-0.143536095,INTERNE
3,96,-0.083834155,INTERNE
3,97,-0.081249855,INTERNE
3,98,-0.151463649,INTERNE
3,99,-0.006310759,INTERNE
3,100,-0.163991332,INTERNE
4,1,0.1353676014,INTERNE
4,2,-0.156221998,INTERNE
4,3,-0.174517497,INTERNE
4,4,0.290981273,INTERNE
4,5,-0.050340567,INTERNE
4,6,0.3305171346,INTERNE
4,7,0.1892510983,INTERNE
4,8,-0.137625906,INTERNE
4,9,0.0371063682,INTERNE
4,10,0.1242688594,INTERNE
4,11,0.8010330797,INTERNE
4,12,-0.334607064,INTERNE
4,13,0.1704034961,INTERNE
4,14,-0.098992609,INTERNE
4,15,0.2724032179,INTERNE
4,16,-0.068515466,INTERNE
4,17,-0.073884567,INTERNE
4,18,0.031403409,INTERNE
4,19,0.0422027393,INTERNE
4,20,-0.146679241,INTERNE
4,21,0.5583266279,INTERNE
4,22,0.247029633,INTERNE
4,23,-0.320744246,INTERNE
4,24,-0.045484048,INTERNE
4,25,0.0123465512,INTERNE
4,26,-0.309436133,INTERNE
4,27,0.2958949689,INTERNE
4,28,0.5277370354,INTERNE
4,29,0.0113343491,INTERNE
4,30,-0.24507622,INTERNE
4,31,0.5054905653,INTERNE
4,32,-0.138076115,INTERNE
4,33,0.0317135701,INTERNE
4,34,-0.045276555,INTERNE
4,35,0.1618862504,INTERNE
4,36,0.6528807305,INTERNE
4,37,-0.278427708,INTERNE
4,38,-0.168234427,INTERNE
4,39,0.4957136732,INTERNE
4,40,-0.113489126,INTERNE
4,41,0.3198941073,INTERNE
4,42,-0.344876296,INTERNE
4,43,0.1285819356,INTERNE
4,44,-0.09740415,INTERNE
4,45,-0.309999141,INTERNE
4,46,-0.265502727,INTERNE
4,47,0.107203287,INTERNE
4,48,-0.084321934,INTERNE
4,49,0.3215419575,INTERNE
4,50,-0.328594582,INTERNE
4,51,0.0859146886,INTERNE
4,52,-0.002982994,INTERNE
4,53,0.7421915894,INTERNE
4,54,0.1306006188,INTERNE
4,55,-0.049966313,INTERNE
4,56,0.1036596068,INTERNE
4,57,-0.131142469,INTERNE
4,58,-0.217810308,INTERNE
4,59,0.6450669875,INTERNE
4,60,0.0582861159,INTERNE
4,61,-0.388335481,INTERNE
4,62,0.1748228303,INTERNE
4,63,0.6178247011,INTERNE
4,64,0.2200382673,INTERNE
4,65,-0.17648632,INTERNE
4,66,0.6469031702,INTERNE
4,67,-0.25324698,INTERNE
4,68,1.1220470471,INTERNE
4,69,0.3861681008,INTERNE
4,70,-0.144053005,INTERNE
4,71,0.0822791408,INTERNE
4,72,-0.316675148,INTERNE
4,73,0.2349504038,INTERNE
4,74,0.3154178485,INTERNE
4,75,-0.151482843,INTERNE
4,76,-0.01107918,INTERNE
4,77,0.0428758682,INTERNE
4,78,-0.126091024,INTERNE
4,79,0.0578090503,INTERNE
4,80,-0.065873277,INTERNE
4,81,0.0822026689,INTERNE
4,82,-0.237149994,INTERNE
4,83,-0.04561043,INTERNE
4,84,0.3060592171,INTERNE
4,85,-0.452144779,INTERNE
4,86,-0.039077444,INTERNE
4,87,0.1027554568,INTERNE
4,88,-0.357306493,INTERNE
4,89,0.1194503389,INTERNE
4,90,0.1849416923,INTERNE
4,91,-0.167462592,INTERNE
4,92,-0.140617859,INTERNE
4,93,0.1939269702,INTERNE
4,94,0.3868784678,INTERNE
4,95,-0.518424129,INTERNE
4,96,0.4657533149,INTERNE
4,97,-0.001113591,INTERNE
4,98,0.0094279981,INTERNE
4,99,0.0450234883,INTERNE
4,100,-0.189626297,INTERNE
5,1,0.1953321736,INTERNE
5,2,0.1493208473,INTERNE
5,3,-0.124573662,INTERNE
5,4,-0.395032285,INTERNE
5,5,0.049988106,INTERNE
5,6,-0.228905291,INTERNE
5,7,-0.19325985,INTERNE
5,8,0.3802106592,INTERNE
5,9,-0.257156063,INTERNE
5,10,0.3037534492,INTERNE
5,11,0.0805407191,INTERNE
