,an_proj,TX_ACTU
0,1,0.9743999999999999
1,2,0.9487000000000001
2,3,0.9218999999999999
3,4,0.8936
4,5,0.8641
5,6,0.8337
6,7,0.8031
7,8,0.7726999999999999
8,9,0.7429000000000001
9,10,0.7138
10,11,0.6857
11,12,0.6586
12,13,0.6325
13,14,0.6075
14,15,0.5836
15,16,0.5606
16,17,0.5386
17,18,0.5176
18,19,0.4975
19,20,0.4783
20,21,0.45990000000000003
21,22,0.4424
22,23,0.4255
23,24,0.4094
24,25,0.39390000000000003
25,26,0.379
26,27,0.36460000000000004
27,28,0.3507
28,29,0.3372
29,30,0.32420000000000004
30,31,0.3123
31,32,0.30079999999999996
32,33,0.2897
33,34,0.27899999999999997
34,35,0.2688
35,36,0.2588
36,37,0.2493
37,38,0.2401
38,39,0.23129999999999998
39,40,0.2228
40,41,0.2145
41,42,0.2066
42,43,0.19899999999999998
43,44,0.1917
44,45,0.18460000000000001
45,46,0.1778
46,47,0.17129999999999998
47,48,0.165
48,49,0.1589
49,50,0.153
50,51,0.1474
51,52,0.142
52,53,0.1367
53,54,0.1317
54,55,0.1268
55,56,0.1222
56,57,0.1177
57,58,0.1133
58,59,0.1092
59,60,0.1051
60,61,0.1013
61,62,0.0975
62,63,0.09390000000000001
63,64,0.09050000000000001
64,65,0.08710000000000001
65,66,0.0839
66,67,0.0808
67,68,0.0779
68,69,0.075
69,70,0.0722
70,71,0.0696
71,72,0.067
72,73,0.0645
73,74,0.0622
74,75,0.0599
75,76,0.057699999999999994
76,77,0.0555
77,78,0.0535
78,79,0.051500000000000004
79,80,0.0496
80,81,0.0478
81,82,0.046
82,83,0.0443
83,84,0.042699999999999995
84,85,0.041100000000000005
85,86,0.039599999999999996
86,87,0.0382
87,88,0.036699999999999997
88,89,0.0354
89,90,0.0341
90,91,0.032799999999999996
91,92,0.0316
92,93,0.0305
93,94,0.029300000000000003
94,95,0.028300000000000002
95,96,0.027200000000000002
96,97,0.0262
97,98,0.0252
98,99,0.024300000000000002
99,100,0.023399999999999997
