an_eval,TX_ACTU_INT
1,97.44%
2,94.87%
3,92.19%
4,89.36%
5,86.41%
6,83.37%
7,80.31%
8,77.27%
9,74.29%
10,71.38%
11,68.57%
12,65.86%
13,63.25%
14,60.75%
15,58.36%
16,56.06%
17,53.86%
18,51.76%
19,49.75%
20,47.83%
21,45.99%
22,44.24%
23,42.55%
24,40.94%
25,39.39%
26,37.90%
27,36.46%
28,35.07%
29,33.72%
30,32.42%
31,31.23%
32,30.08%
33,28.97%
34,27.90%
35,26.88%
36,25.88%
37,24.93%
38,24.01%
39,23.13%
40,22.28%
41,21.45%
42,20.66%
43,19.90%
44,19.17%
45,18.46%
46,17.78%
47,17.13%
48,16.50%
49,15.89%
50,15.30%
51,14.74%
52,14.20%
53,13.67%
54,13.17%
55,12.68%
56,12.22%
57,11.77%
58,11.33%
59,10.92%
60,10.51%
61,10.13%
62,9.75%
63,9.39%
64,9.05%
65,8.71%
66,8.39%
67,8.08%
68,7.79%
69,7.50%
70,7.22%
71,6.96%
72,6.70%
73,6.45%
74,6.22%
75,5.99%
76,5.77%
77,5.55%
78,5.35%
79,5.15%
80,4.96%
81,4.78%
82,4.60%
83,4.43%
84,4.27%
85,4.11%
86,3.96%
87,3.82%
88,3.67%
89,3.54%
90,3.41%
91,3.28%
92,3.16%
93,3.05%
94,2.93%
95,2.83%
96,2.72%
97,2.62%
98,2.52%
99,2.43%
100,2.34%
