an_proj,WX
1,1.000%
2,2.000%
3,3.000%
4,4.000%
5,5.000%
6,6.000%
7,6.000%
8,6.000%
9,6.000%
10,6.000%
11,6.000%
12,6.000%
13,6.000%
14,6.000%
15,6.000%
16,6.000%
17,6.000%
18,6.000%
19,6.000%
20,6.000%
21,6.000%
22,6.000%
23,6.000%
24,6.000%
25,6.000%
26,6.000%
27,6.000%
28,6.000%
29,6.000%
30,6.000%
31,6.000%
32,6.000%
33,6.000%
34,6.000%
35,6.000%
36,6.000%
37,6.000%
38,6.000%
39,6.000%
40,6.000%
41,6.000%
42,6.000%
43,6.000%
44,6.000%
45,6.000%
46,6.000%
47,6.000%
48,6.000%
49,6.000%
50,6.000%
51,6.000%
52,6.000%
53,6.000%
54,6.000%
55,6.000%
56,6.000%
57,6.000%
58,6.000%
59,6.000%
60,6.000%
61,6.000%
62,6.000%
63,6.000%
64,6.000%
65,6.000%
66,6.000%
67,6.000%
68,6.000%
69,6.000%
70,6.000%
71,6.000%
72,6.000%
73,6.000%
74,6.000%
75,6.000%
76,6.000%
77,6.000%
78,6.000%
79,6.000%
80,6.000%
81,6.000%
82,6.000%
83,6.000%
84,6.000%
85,6.000%
86,6.000%
87,6.000%
88,6.000%
89,6.000%
90,6.000%
91,6.000%
92,6.000%
93,6.000%
94,6.000%
95,6.000%
96,6.000%
97,6.000%
98,6.000%
99,6.000%
100,6.000%
