,an_proj,WX
0,1,0.01
1,2,0.02
2,3,0.03
3,4,0.04
4,5,0.05
5,6,0.06
6,7,0.06
7,8,0.06
8,9,0.06
9,10,0.06
10,11,0.06
11,12,0.06
12,13,0.06
13,14,0.06
14,15,0.06
15,16,0.06
16,17,0.06
17,18,0.06
18,19,0.06
19,20,0.06
20,21,0.06
21,22,0.06
22,23,0.06
23,24,0.06
24,25,0.06
25,26,0.06
26,27,0.06
27,28,0.06
28,29,0.06
29,30,0.06
30,31,0.06
31,32,0.06
32,33,0.06
33,34,0.06
34,35,0.06
35,36,0.06
36,37,0.06
37,38,0.06
38,39,0.06
39,40,0.06
40,41,0.06
41,42,0.06
42,43,0.06
43,44,0.06
44,45,0.06
45,46,0.06
46,47,0.06
47,48,0.06
48,49,0.06
49,50,0.06
50,51,0.06
51,52,0.06
52,53,0.06
53,54,0.06
54,55,0.06
55,56,0.06
56,57,0.06
57,58,0.06
58,59,0.06
59,60,0.06
60,61,0.06
61,62,0.06
62,63,0.06
63,64,0.06
64,65,0.06
65,66,0.06
66,67,0.06
67,68,0.06
68,69,0.06
69,70,0.06
70,71,0.06
71,72,0.06
72,73,0.06
73,74,0.06
74,75,0.06
75,76,0.06
76,77,0.06
77,78,0.06
78,79,0.06
79,80,0.06
80,81,0.06
81,82,0.06
82,83,0.06
83,84,0.06
84,85,0.06
85,86,0.06
86,87,0.06
87,88,0.06
88,89,0.06
89,90,0.06
90,91,0.06
91,92,0.06
92,93,0.06
93,94,0.06
94,95,0.06
95,96,0.06
96,97,0.06
97,98,0.06
98,99,0.06
99,100,0.06
