POLICY,MV,TRANSAC,GUARANTEE
1,30922,1546,28139
2,99708,997,64810
3,59806,1196,24520
4,13746,412,11684
5,37386,-374,35143
6,46039,0,43277
7,20992,-840,18683
8,90168,4508,36969
9,10447,418,5746
10,93341,3734,86807
11,89317,3573,38406
12,38169,-1908,45421
13,21952,-878,18659
14,54675,-547,27338
15,36433,-364,32790
16,27635,-829,31504
17,47622,1429,39050
18,66184,662,60227
19,53189,-532,62763
20,54811,1096,32887
21,15810,791,14703
22,79175,3167,57006
23,20707,1035,11389
24,63204,0,46771
25,45707,-1371,35194
26,39276,1178,26708
27,20304,203,20507
28,75811,0,87941
29,26006,260,29647
30,24448,-978,27626
31,32093,321,20219
32,58029,0,53387
33,99301,-993,90364
34,74794,-748,47120
35,87062,3482,62685
36,83584,1672,91107
37,33511,-335,37532
38,98371,984,78697
39,50908,-2036,39708
40,69226,2769,52612
41,99296,3972,43690
42,68501,-2740,68501
43,11710,-234,10071
44,42533,-1701,22117
45,84048,840,68919
46,31068,-311,13359
47,91708,-4585,46771
48,67240,2017,73964
49,18119,-362,20293
50,50510,1515,45964
51,18448,369,16050
52,85519,2566,70981
53,59863,1796,64652
54,39717,397,41306
55,26263,-525,11818
56,13399,-670,6432
57,14273,-571,13274
58,28892,1156,31492
59,68138,-1363,48378
60,10786,324,10031
61,22087,442,12369
62,87003,-4350,58292
63,57261,1718,60697
64,19631,982,15312
65,87370,0,85623
66,78662,3146,71582
67,73782,2951,63453
68,60035,3002,24014
69,34920,-1397,38761
70,10776,108,7004
71,70273,2108,72381
72,16130,-161,15324
73,55963,0,23504
74,65146,1303,67100
75,33510,670,30829
76,92806,2784,70533
77,81473,-1629,85547
78,19739,-592,16383
79,26441,0,20624
80,16813,336,6893
81,43766,-438,38952
82,12335,370,10485
83,14155,-142,12032
84,45269,1811,38931
85,45100,2255,45100
86,15051,-602,13546
87,81567,4078,63622
88,93801,1876,102243
89,96509,4825,102300
90,77766,-2333,80099
91,30572,-611,13757
92,94774,4739,49282
93,45365,1815,54438
94,82267,-2468,67459
95,41413,-1657,32302
96,97630,1953,105440
97,82106,4105,48443
98,98776,-2963,101739
99,42999,430,49449
100,86071,2582,70578
101,88738,3550,37270
102,78114,3906,70303
103,22310,892,12271
104,71621,-2865,82364
105,15665,470,16448
106,67055,3353,54985
107,20931,209,20094
108,20214,-404,14554
109,20688,-207,11172
110,54999,-1100,23650
111,78746,0,55910
112,97406,-4870,104224
113,53446,1603,35274
114,80233,0,39314
115,92540,-925,47195
116,77255,-2318,52533
117,75343,0,73083
118,75423,-754,48271
119,59779,-1196,57388
120,64548,0,51638
121,49593,1488,35211
122,49322,1480,53268
123,30184,-302,24751
124,45948,459,26650
125,41670,1250,45837
126,52104,-2084,60441
127,56971,-1709,47286
128,62088,-621,27319
129,54671,1640,62325
130,66584,-3329,26634
131,92968,0,39047
132,98311,-1966,48172
133,31645,-633,20253
134,60219,-602,27701
135,75963,760,37222
136,53407,-2670,58214
137,22999,690,11500
138,34402,344,40594
139,64685,1294,38811
140,14288,-143,6287
141,98865,2966,39546
142,89709,-897,51134
143,35206,-704,21476
144,50184,-1004,40649
145,50798,2032,60958
146,69122,2765,34561
147,68102,2724,78317
148,42921,429,35624
149,75405,1508,66356
150,99796,-3992,118757
151,28454,-1138,11666
152,59035,-590,48999
153,21040,-210,23565
154,68536,-3427,72648
155,40820,2041,27758
156,17276,518,20558
157,28010,-1401,21848
158,77032,-2311,82424
159,51128,1534,31699
160,68363,-1367,54690
161,38764,0,42253
162,86468,-1729,57934
163,42932,859,48942
164,43655,437,25320
165,56914,-1707,31872
166,41722,-834,44225
