forward_rate,AJUST_FORWARD_RATE_VM_0,rendDEX_an,rendMM_an,rendTSX_an,rendSP500_an,rendEAFE_an,an_eval_int,mois_eval,scn_eval_int
0,0,0,0,0,0,0,0,12,1
0.002788338,0,0.0315754421,-0.019127676,0.0183760953,0.0720220714,-0.017745792,1,12,1
0.0335171629,0,0.1924063631,0.0792911414,0.5921655568,0.3014119848,0.3427577669,2,12,1
0.0354725589,0,-0.231449543,0.1485022335,0.0265356836,0.0205102049,0.2857871435,3,12,1
0.0389743865,0,-0.103253559,-0.084592067,-0.687648458,-0.401429926,-0.326432663,4,12,1
0.0424092394,0,0.0774359158,-0.087966143,-0.368753831,-0.265972914,-0.418025644,5,12,1
0.045214372,0,-0.327466705,0.2159938592,0.162106576,-0.099313523,0.0387239493,6,12,1
0.0472869242,0,0.1821036442,0.0435243781,0.0988118299,-0.038219304,0.2182880814,7,12,1
0.0487083247,0,-0.108189656,-0.282439838,0.1186775163,-0.002903078,0.2066205209,8,12,1
0.0496146018,0,-0.030614361,0.0483288059,0.0018380584,-0.008636766,-0.050145209,9,12,1
0.0501403623,0,0.0906967323,0.0594347712,-0.08601303,-0.233072181,-0.096657569,10,12,1
0.0503984927,0,0.054534639,-0.055222519,0.2004501799,0.1521547081,0.3696385809,11,12,1
0.050476111,0,0.011764078,-0.02255457,0.1760365389,0.1792115264,-0.063202895,12,12,1
0.050437108,0,0.1390947949,0.1328342366,-0.541917181,-0.434056032,-0.465710346,13,12,1
0.0503267034,0,-0.045233068,0.076536788,-0.449695796,-0.368902767,-0.266140798,14,12,1
0.0501760351,0,0.279806044,0.0916863362,-0.611454473,-0.217046886,-0.232995574,15,12,1
0.0500060409,0,0.1940237867,0.1897683667,0.6607745308,0.6546009817,0.7332954958,16,12,1
0.0498304804,0,0.035848446,0.0252748765,-0.244665522,-0.242941412,-0.189384532,17,12,1
0.0496581668,0,0.1080296026,0.1285353555,-0.272217185,-0.062760309,0.0185260481,18,12,1
0.0494945644,0,-0.207572215,-0.026148574,-0.347146786,0.0620335566,0.0721149648,19,12,1
0.0493429038,0,0.0062417153,-0.051414167,0.1514367047,0.4231200845,0.1579415484,20,12,1
0.0492049435,0,0.1270762983,0.031822858,-0.432289789,-0.037082266,0.1208287939,21,12,1
0.0490814882,0,0.1268730395,0.1135990537,-0.261300701,0.0174977705,0.3178532012,22,12,1
0.0489727315,0,0.257121723,-0.057709385,0.0411972031,0.0424486664,0.5463554552,23,12,1
0.0488784849,0,0.372480023,-0.029595574,-0.528318831,0.1942670145,0.2228000391,24,12,1
0.0487983261,0,0.2344510619,0.2224864514,0.3286554185,-0.03309707,-0.069085011,25,12,1
0.0487316968,0,-0.120828565,-0.055461391,-0.01650358,0.1062756681,0.1507818237,26,12,1
0.0486779638,0,0.1505826865,-0.172290813,0.5172714373,-0.036224053,0.1921348554,27,12,1
0.0486364603,0,0.0764406762,-0.014117919,-0.523737797,-0.363265942,-0.377847074,28,12,1
0.0486065103,0,0.0306540325,-0.063390201,0.3147605281,0.1268107664,0.1046394397,29,12,1
0.0485568129,0,0.0750618061,0.23687309,0.4840217329,0.5432766778,0.3613996234,30,12,1
0.0476815081,0,0.0685259746,0.102567158,0.6157613789,0.0728742968,0.1606911817,31,12,1
0.0475379436,0,0.2916132673,0.2409365459,0.6511148268,0.23036284,0.0843911121,32,12,1
0.0475379436,0,-0.058853776,0.182218699,0.5037143088,0.180699824,0.0790648435,33,12,1
0.0475379436,0,0.0162359313,0.0302433831,-0.096223892,0.0540690829,-0.046647439,34,12,1
0.0475379436,0,0.1985298456,-0.004559224,0.3385500033,0.4027392829,0.3557668015,35,12,1
0.0475379436,0,0.3255831305,0.0361231406,0.6370288321,0.1396302475,0.3406652919,36,12,1
0.0475379436,0,0.1387106277,0.1274223089,-0.073176846,-0.249268283,-0.018129663,37,12,1
0.0475379436,0,-0.112445497,-0.083632002,-0.028392942,0.3022777395,0.1435038731,38,12,1
0.0475379436,0,-0.109877922,0.0499703506,0.2684978465,-0.074458208,-0.065370151,39,12,1
0.0475379436,0,0.0714300826,0.0014045184,0.8486687646,-0.067331786,0.2711076367,40,12,1
0.0475379436,0,-0.066137917,0.108790701,0.3318862158,-0.200610792,-0.215167462,41,12,1
0.0475379436,0,0.1184888617,-0.080821647,-0.55167112,0.0707296714,-0.017389109,42,12,1
0.0475379436,0,0.1613547089,0.0425142082,-0.26791773,0.0163187982,-0.050229262,43,12,1
0.0475379436,0,-0.091733641,-0.052767132,-0.382227958,-0.18752785,-0.142337013,44,12,1
0.0475379436,0,0.1880031696,-0.132316858,0.0697606312,-0.143449692,-0.066694452,45,12,1
0.0475379436,0,-0.050004263,-0.053971231,0.0917764822,0.2254893242,0.1564929139,46,12,1
0.0475379436,0,0.2385836035,-0.06898979,0.019148092,0.0277046614,0.2043849191,47,12,1
0.0475379436,0,0.1436871764,0.2204426725,-0.030688346,-0.213403041,-0.005026296,48,12,1
0.0475379436,0,0.0770465067,0.1528538209,-0.01644503,0.1986276986,0.0619602637,49,12,1
0.0475379436,0,-0.040399652,-0.010361393,0.3453085939,-0.098135814,0.0916410401,50,12,1
0.0475379436,0,0.1672550298,0.0227051185,0.0351543495,0.3252171722,0.0343962447,51,12,1
0.0475379436,0,0.0550783123,0.2596644993,0.1944875379,0.2221762679,0.2714236534,52,12,1
0.0475379436,0,-0.03174734,-0.103946757,0.1665401754,-0.126767463,0.115388321,53,12,1
0.0475379436,0,-0.16268455,-0.039572013,0.7403536816,-0.01229833,0.0656667331,54,12,1
0.0475379436,0,0.1590856009,0.1285047052,0.2819741496,-0.156570617,0.2103040596,55,12,1
0.0475379436,0,-0.120855721,0.0120050218,0.0360499586,-0.750305479,-0.32699423,56,12,1
0.0475379436,0,0.0258601134,-0.081007908,0.3255317601,0.506344389,0.4541448,57,12,1
0.0475379436,0,-0.178395269,0.1456126592,-0.3209126,-0.004733472,0.0663387385,58,12,1
